Semana,Temporada,Volumen_hm3
23,1,3406.9140590796887
23,2,3423.8901450529293
23,3,2698.690202535945
23,4,2182.085423729214
23,5,1722.0451813992117
24,1,3410.613792808268
24,2,3424.8888401542276
24,3,2715.1647903248536
24,4,2205.522911247211
24,5,1712.0404388175098
25,1,3439.835014620646
25,2,3449.1163356327916
25,3,2723.332476039749
25,4,2235.2664559228156
25,5,1734.178141281633
26,1,3454.849907155432
26,2,3502.2406231988475
26,3,2738.0116294364234
26,4,2208.5897104773544
26,5,1758.290994467905
27,1,3454.375017098196
27,2,3518.956454473246
27,3,2737.8734067991445
27,4,2203.9164325921624
27,5,1788.2130605149287
28,1,3542.068059778136
28,2,3574.2197806303648
28,3,2748.927712337843
28,4,2256.206023520866
28,5,1791.9522489550386
29,1,3579.3039984978204
29,2,3576.203682256831
29,3,2774.5480231548595
29,4,2302.981446439584
29,5,1823.205186531085
30,1,3631.649625981268
30,2,3580.054418868853
30,3,2767.776580344655
30,4,2345.571339289541
30,5,1863.9573137278821
31,1,3713.7449709654047
31,2,3636.171089511489
31,3,2814.7897221394032
31,4,2326.507575984008
31,5,1897.91404405753
32,1,3739.1831019986435
32,2,3691.9898362168474
32,3,2971.7244996032946
32,4,2407.7446954938687
32,5,1891.7890335744376
33,1,3759.6694659297323
33,2,3656.529178270942
33,3,2939.3695571517133
33,4,2406.528788103714
33,5,1899.8937143930937
34,1,3750.812556238691
34,2,3621.707974943032
34,3,2914.7933879095226
34,4,2467.675619187119
34,5,1891.3208195219786
35,1,3689.6535527642063
35,2,3566.122049592884
35,3,2895.63403433736
35,4,2476.7078659390054
35,5,1834.5461829461258
36,1,3671.568528066496
36,2,3541.89850795728
36,3,2900.4107189905394
36,4,2433.2040026791506
36,5,1820.4623318744673
37,1,3629.023932131133
37,2,3503.9745193224308
37,3,2877.086523503519
37,4,2376.571322499478
37,5,1768.86748563029
38,1,3555.8150179904305
38,2,3456.850149885309
38,3,2843.7311932069138
38,4,2324.8997915088635
38,5,1708.9458675724577
39,1,3498.0428832974685
39,2,3428.4075642952253
39,3,2771.7299796383236
39,4,2249.3624768749073
39,5,1632.3818455587666
40,1,3434.942433010291
