Demanda,Canal,Semana,Temporada,Demanda_m3s,Provisto_m3s,Deficit_m3s
1,1,39,1,33.48,33.48,0.0
1,1,39,2,33.48,33.48,0.0
1,1,39,3,33.48,33.48,0.0
1,1,39,4,33.48,33.48,0.0
1,1,39,5,33.48,33.48,0.0
1,1,40,1,33.48,33.48,0.0
1,1,40,2,33.48,33.48,0.0
1,1,40,3,33.48,33.48,0.0
1,1,40,4,33.48,33.48,0.0
1,1,40,5,33.48,33.48,0.0
1,1,41,1,33.48,33.48,0.0
1,1,41,2,33.48,33.48,0.0
1,1,41,3,33.48,33.48,0.0
1,1,41,4,33.48,33.48,0.0
1,1,41,5,33.48,33.48,0.0
1,1,42,1,33.48,33.48,0.0
1,1,42,2,33.48,33.48,0.0
1,1,42,3,33.48,33.48,0.0
1,1,42,4,33.48,33.48,0.0
1,1,42,5,33.48,33.48,0.0
1,1,43,1,33.48,33.48,0.0
1,1,43,2,33.48,33.48,0.0
1,1,43,3,33.48,33.48,0.0
1,1,43,4,33.48,33.48,0.0
1,1,43,5,33.48,33.48,0.0
1,1,44,1,33.48,33.48,0.0
1,1,44,2,33.48,33.48,0.0
1,1,44,3,33.48,33.48,0.0
1,1,44,4,33.48,33.48,0.0
1,1,44,5,33.48,33.48,0.0
1,1,45,1,33.48,33.48,0.0
1,1,45,2,33.48,33.48,0.0
1,1,45,3,33.48,33.48,0.0
1,1,45,4,33.48,33.48,0.0
1,1,45,5,33.48,33.48,0.0
1,1,46,1,33.48,33.48,0.0
1,1,46,2,33.48,33.48,0.0
1,1,46,3,33.48,33.48,0.0
1,1,46,4,33.48,33.48,0.0
1,1,46,5,33.48,33.48,0.0
1,1,47,1,33.48,33.48,0.0
1,1,47,2,33.48,33.48,0.0
1,1,47,3,33.48,33.48,0.0
1,1,47,4,33.48,33.48,0.0
1,1,47,5,33.48,33.48,0.0
1,1,48,1,33.48,33.48,0.0
1,1,48,2,33.48,33.48,0.0
1,1,48,3,33.48,33.48,0.0
