Central,Semana,Temporada,Caudal_m3s
4,43,2,114.83506573629307
4,43,3,111.83290219019142
4,43,4,111.83289761876284
4,43,5,112.83541989931948
4,44,1,118.40863551309775
4,44,2,112.4102645398645
4,44,3,109.40810099376284
4,44,4,109.40809761876284
4,44,5,109.9097992814732
4,45,1,114.37582531378396
4,45,2,108.37740653614131
4,45,3,105.37728913564027
4,45,4,105.37726599278312
4,45,5,106.37739928147306
4,46,1,112.72185237385145
4,46,2,106.71966209793334
4,46,3,104.22084711778314
4,46,4,103.7209071110386
4,46,5,104.71929761876311
4,47,1,112.22305383154304
4,47,2,106.72148357293332
4,47,3,103.72270971103859
4,47,4,103.72280711103858
4,47,5,104.22276599278311
4,48,1,110.19461901533887
4,48,2,104.69501401102698
4,48,3,101.69480363906715
4,48,4,98.28309211454857
4,48,5,102.69566599278312
5,1,1,1.5585714285714285
5,1,2,1.5585714285714285
5,1,3,1.5585714285714285
5,1,4,1.5586
5,1,5,1.5586
5,2,1,1.54875
5,2,2,1.54875
5,2,3,1.54875
5,2,4,1.5488
5,2,5,1.5488
5,3,1,1.5414285714285716
5,3,2,1.5414285714285716
5,3,3,1.5414285714285716
5,3,4,1.5414
5,3,5,1.5414
5,4,1,3.1950000000000003
5,4,2,3.1950000000000003
5,4,3,3.1950000000000003
5,4,4,3.195
5,4,5,3.195
5,5,1,2.9528571428571424
5,5,2,2.9528571428571424
5,5,3,2.9528571428571424
5,5,4,2.9529
5,5,5,2.9529
5,6,1,2.11375
5,6,2,2.11375
5,6,3,2.11375
5,6,4,2.1138
5,6,5,2.1138
5,7,1,3.9762500000000003
5,7,2,3.9762500000000003
5,7,3,3.9762500000000003
5,7,4,3.9763
5,7,5,3.9763
5,8,1,9.80125
5,8,2,9.80125
5,8,3,9.80125
5,8,4,9.8013
5,8,5,9.8013
5,9,1,13.587142857142855
5,9,2,13.587142857142855
5,9,3,1.3218976454217994
5,9,4,13.5871
5,9,5,13.5871
5,10,1,13.822500000000002
5,10,2,13.822500000000002
5,10,3,13.822500000000002
5,10,4,13.8225
5,10,5,13.8225
5,11,2,6.852857142857142
5,12,1,75.61874999999999
5,12,2,75.61874999999999
5,12,3,75.61874999999999
5,12,4,75.6188
5,12,5,75.6188
5,13,1,35.43428571428571
5,13,2,35.43428571428571
5,13,3,35.43428571428571
5,13,4,35.4343
5,13,5,35.4343
5,14,1,13.29875
5,14,4,13.2988
