Demanda,Canal,Semana,Temporada,Demanda_m3s,Provisto_m3s,Deficit_m3s,Incumplimiento
1,1,42,4,33.48,33.48000000000002,0.0,-0.0
1,1,42,5,33.48,33.47999999999999,0.0,-0.0
1,1,43,1,33.48,33.48,0.0,-0.0
1,1,43,2,33.48,33.48,0.0,-0.0
1,1,43,3,33.48,33.47999999999999,0.0,-0.0
1,1,43,4,33.48,33.47999999999999,0.0,-0.0
1,1,43,5,33.48,33.47999999999999,0.0,-0.0
1,1,44,1,33.48,33.48,0.0,-0.0
1,1,44,2,33.48,33.48,0.0,-0.0
1,1,44,3,33.48,33.48,0.0,-0.0
1,1,44,4,33.48,33.48000000000002,0.0,-0.0
1,1,44,5,33.48,33.47999999999999,0.0,-0.0
1,1,45,1,33.48,33.48,0.0,-0.0
1,1,45,2,33.48,33.47999999999999,0.0,-0.0
1,1,45,3,33.48,33.47999999999999,0.0,-0.0
1,1,45,4,33.48,33.48,0.0,-0.0
1,1,45,5,33.48,33.47999999999999,0.0,-0.0
1,1,46,1,33.48,33.48,0.0,-0.0
1,1,46,2,33.48,33.47999999999999,0.0,-0.0
1,1,46,3,33.48,33.47999999999999,0.0,-0.0
1,1,46,4,33.48,33.47999999999999,0.0,-0.0
1,1,46,5,33.48,33.47999999999999,0.0,-0.0
1,1,47,1,33.48,33.48,0.0,-0.0
1,1,47,2,33.48,33.48000000000002,0.0,-0.0
1,1,47,3,33.48,33.48000000000002,0.0,-0.0
1,1,47,4,33.48,33.48,0.0,-0.0
1,1,47,5,33.48,33.47999999999999,0.0,-0.0
1,1,48,1,33.48,33.47999999999999,0.0,-0.0
1,1,48,2,33.48,33.47999999999999,0.0,-0.0
1,1,48,3,33.48,33.47999999999999,0.0,-0.0
1,1,48,4,33.48,33.48,0.0,-0.0
1,1,48,5,33.48,33.48000000000002,0.0,-0.0
1,2,1,1,56.52,56.52,0.0,0.0
1,2,1,2,56.52,56.52,0.0,-0.0
1,2,1,3,56.52,56.52,0.0,-0.0
1,2,1,4,56.52,56.52,0.0,-0.0
1,2,1,5,56.52,56.52,0.0,-0.0
1,2,2,1,56.52,56.52,0.0,0.0
1,2,2,2,56.52,56.52,0.0,-0.0
1,2,2,3,56.52,56.52,0.0,-0.0
1,2,2,4,56.52,56.52,0.0,-0.0
1,2,2,5,56.52,56.52,0.0,-0.0
1,2,3,1,56.52,56.52,0.0,-0.0
1,2,3,2,56.52,56.52,0.0,-0.0
1,2,3,3,56.52,56.52,0.0,-0.0
1,2,3,4,56.52,56.52,0.0,-0.0
1,2,3,5,56.52,56.52,0.0,-0.0
1,2,4,1,56.52,56.52,0.0,-0.0
1,2,4,2,56.52,56.52,0.0,-0.0
1,2,4,3,56.52,56.52,0.0,-0.0
1,2,4,4,56.52,56.52,0.0,-0.0
1,2,4,5,56.52,56.52,0.0,-0.0
1,2,5,1,0.0,20.0,0.0,0.0
1,2,5,2,0.0,20.0,0.0,0.0
1,2,5,3,0.0,20.0,0.0,0.0
1,2,5,4,0.0,20.0,0.0,0.0
1,2,5,5,0.0,20.0,0.0,0.0
1,2,6,1,0.0,20.0,0.0,0.0
1,2,6,2,0.0,20.0,0.0,0.0
1,2,6,3,0.0,20.0,0.0,0.0
1,2,6,4,0.0,20.0,0.0,0.0
1,2,6,5,0.0,20.0,0.0,0.0
1,2,7,1,0.0,20.0,0.0,0.0
1,2,7,2,0.0,20.0,0.0,0.0
1,2,7,3,0.0,20.0,0.0,0.0
1,2,7,4,0.0,20.0,0.0,0.0
