Semana,Temporada,Volumen_hm3
17,2,2766.804315874998
17,3,1964.2143735468196
17,4,1657.5503522849738
17,5,1923.3022069178187
18,1,4149.303254100356
18,2,2739.7354489507024
18,3,1939.9105563127307
18,4,1634.2828167232506
18,5,1939.5030363578187
19,1,4266.903131373832
19,2,2926.5232668649264
19,3,2129.4631915183213
19,4,1825.2185174081008
19,5,2129.0557061234094
20,1,4270.09904064733
20,2,2998.5630064014367
20,3,2204.611858723912
20,4,1901.404678513889
20,5,2204.2044078890003
21,1,4255.319865261641
21,2,3027.582327588637
21,3,2233.631179911112
21,4,1930.4240106738891
21,5,2252.0824727995314
22,1,4273.279806535139
22,2,3113.6935578017747
22,3,2322.8541575426207
22,4,2021.0296878398003
22,5,2341.30548499104
23,1,4303.96107114945
23,2,3203.7058843256978
23,3,2415.5873912663624
23,4,2114.972486034366
23,5,2434.0386927947816
24,1,4281.015269382948
24,2,3214.273009368898
24,3,2426.1545163095625
24,4,2163.9794508399577
24,5,2482.0094357933435
25,1,4257.165251757258
25,2,3194.656773652821
25,3,2421.276037250362
25,4,2159.1010130799577
25,5,2477.1309980333435
26,1,4223.782729935849
26,2,3166.111592345959
26,3,2400.893185154362
26,4,2175.4174111599577
26,5,2456.7481321133437
27,1,4198.86018507444
27,2,3146.026387999097
27,3,2397.4673652012407
27,4,2169.266491479958
27,5,2450.597212433344
28,1,4189.48924277303
28,2,3141.4927862122354
28,3,2417.243183338841
28,4,2208.9350014455613
28,5,2470.3729973933437
29,1,4169.921972757944
29,2,3125.855776168731
29,3,2421.2958911148407
29,4,2212.9877057655613
29,5,2474.4257017133436
30,1,4153.608805289274
30,2,3114.034334381869
30,3,2434.4809078188405
30,4,2250.329896544753
30,5,2493.0907737708403
31,1,4153.412853353753
31,2,3104.5984691730905
31,3,2453.1967453548405
31,4,2298.7135742552837
31,5,2511.8066121708403
32,1,4151.778591213018
32,2,3104.5984691730882
32,3,2493.0907737708403
32,4,2358.9251944467924
32,5,2551.7006716908404
33,1,4131.996245677932
33,2,3093.229092379564
33,3,2502.7644455724403
33,4,2400.893185154362
33,5,2592.7611678153985
34,1,4099.5837446645455
34,2,3065.308502563817
34,3,2492.2905380691996
34,4,2425.8802725143623
34,5,2595.890320884253
35,1,4058.303745459472
35,2,3027.49659882807
35,3,2456.8981028277612
35,4,2415.0055412260162
35,5,2560.151989967099
36,1,4009.516347531294
36,2,2983.2018055645804
36,3,2414.6760154263234
36,4,2394.187564906016
36,5,2539.334013647099
37,1,3957.528486864138
37,2,2935.4460705595266
37,3,2368.7359891738934
37,4,2355.756153706016
37,5,2493.0907737708403
38,1,3894.3976325038343
38,2,2876.806566873751
38,3,2312.1715812054017
38,4,2302.614416746016
38,5,2439.9490368108404
39,1,3829.3179285895194
39,2,2816.2187113917457
39,3,2253.6579965545798
39,4,2244.100858015194
39,5,2381.090259562349
40,1,3761.610251300366
40,2,2753.00392062745
40,3,2192.5153120801706
40,4,2182.9581908207847
40,5,2319.784788000331
41,1,3699.460482658397
41,2,2694.4828149486916
41,3,2135.8072994050626
41,4,2126.2501954256763
41,5,2262.7753524308614
42,1,3637.6284917826474
42,2,2636.27927555325
42,3,2079.417657279628
42,4,2069.8605792202416
42,5,2206.082839915753
43,1,3573.796999065526
43,2,2576.07559760074
43,3,2021.0296878398003
43,4,2011.4725838604138
43,5,2147.088519080645
44,1,3510.0535166284044
44,2,2515.95992992823
44,3,1962.7297286799726
44,4,1953.172647380586
44,5,2088.4851534352097
45,1,3445.013599795428
45,2,2454.5478567719715
45,3,1903.1321265275374
45,4,1893.575071148151
45,5,2028.2826965897748
46,1,3370.554730388222
46,2,2384.23770128348
46,3,1834.5491519533257
46,4,1825.3376595130012
46,5,1959.3551974356856
47,1,3301.07586713698
47,2,2318.5615233949884
47,3,1770.945726558176
47,4,1761.7342600378513
47,5,1895.406226381474
48,1,3229.021169907178
48,2,2250.3081531441667
48,3,1704.7661017164526
48,4,1697.9127973282755
48,5,1828.5347926072623
