Uso,Semana,Temporada,Volumen_hm3
1,19,2,912.0646862757641
1,19,3,712.3590151305162
1,19,4,727.0409477661074
1,19,5,754.4578889301741
1,20,1,1213.3856946721214
1,20,2,912.0646862757641
1,20,3,712.3590151305162
1,20,4,727.0409477661074
1,20,5,754.4578889301741
1,21,1,1158.2884146721215
1,21,2,895.9282486717428
1,21,3,693.5002886871854
1,21,4,727.0409477661074
1,21,5,754.4578889301741
1,22,1,1095.3200946721215
1,22,2,895.9282486717428
1,22,3,693.5002886871854
1,22,4,727.0409477661074
1,22,5,754.4578889301741
1,23,1,1040.2228146721216
1,23,2,895.9282486717428
1,23,3,693.5002886871854
1,23,4,727.0409477661074
1,23,5,754.4578889301741
1,24,1,977.2544946721216
1,24,2,861.634247584745
1,24,3,656.0966793718234
1,24,4,727.0409477661087
1,24,5,754.4578889301741
1,25,1,922.1572146721217
1,25,2,806.5369675847451
1,25,3,613.0162488288817
1,25,4,683.0538558012169
1,25,5,711.3774910464324
1,26,1,859.1888946721217
1,26,2,806.5369675847451
1,26,3,555.0985106213732
1,26,4,661.1456634756262
1,26,5,711.3774910464324
1,27,1,796.2205746721218
1,27,2,806.5369675847451
1,27,3,555.0985106213732
1,27,4,608.3101418700355
1,27,5,711.3774910464324
1,28,1,796.2205746721218
1,28,2,743.5686475847451
1,28,3,555.0985106213732
1,28,4,585.7424646300481
1,28,5,669.9533106078704
1,29,1,741.1232946721218
1,29,2,688.4713675847452
1,29,3,517.2713571536315
1,29,4,547.0086049851562
1,29,5,632.1261450441287
1,30,1,741.1232946721218
1,30,2,625.5030475847452
1,30,3,517.2713571536315
1,30,4,547.0086049851562
1,30,5,597.2249873787798
1,31,1,699.4987442716872
1,31,2,570.4057675847453
1,31,3,488.2087449658897
1,31,4,547.0086049851562
1,31,5,568.4650909312899
1,32,1,699.4987442716872
1,32,2,570.4057675847453
1,32,3,488.2087449658897
1,32,4,547.0086049851562
1,32,5,548.8399607284442
1,33,1,644.4014642716872
1,33,2,519.4886399999997
1,33,3,456.52031999999974
1,33,4,547.0086049851562
1,33,5,548.8399607284442
1,34,1,581.4331442716873
1,34,2,456.52031999999974
1,34,3,456.52031999999974
1,34,4,547.0086049851562
1,34,5,515.1925515520895
1,35,1,519.4886399999999
1,35,2,393.55199999999974
1,35,3,456.52031999999974
1,35,4,547.0086049851562
1,35,5,515.1925515520895
1,36,1,456.52031999999997
1,36,2,393.55199999999974
1,36,3,456.52031999999974
1,36,4,505.0978871936478
1,36,5,515.1925515520895
1,37,1,401.42303999999996
1,37,2,338.4547199999997
