Central,Semana,Temporada,Caudal_m3s
4,35,6,112.2994187551088
4,36,1,113.53468015939913
4,36,2,111.37667778879361
4,36,3,113.34608722115463
4,36,4,112.60166108567117
4,36,5,112.25725693732046
4,36,6,113.5499765957727
4,37,1,123.91131333471951
4,37,2,56.42137400224327
4,37,3,123.83770553151192
4,37,4,123.9241698695807
4,37,5,55.83968518441412
4,37,6,54.95787316978971
4,38,1,123.62434562376875
4,38,2,55.826955588183736
4,38,3,123.82500085582234
4,38,4,123.92726622473006
4,38,5,123.91549044607454
4,38,6,123.84631173717786
4,39,1,124.05165864946518
4,39,2,124.19856715350979
4,39,3,123.8278049493024
4,39,4,123.84610031601547
4,39,5,123.73342445362506
4,39,6,124.1320696913469
4,40,1,123.32311229039293
4,40,2,123.78232825206958
4,40,3,55.993656413709104
4,40,4,123.90821362244655
4,40,5,123.4946696095413
4,40,6,124.34002913479281
4,41,1,123.7828819599505
4,41,2,123.93787719396227
4,41,3,123.72314853259697
4,41,4,123.53713313767388
4,41,5,123.96024402741523
4,41,6,55.342912880139565
4,42,1,123.91116717093891
4,42,2,123.81989612514748
4,42,3,123.58998487261341
4,42,4,123.86047144568835
4,42,5,123.63417624863114
4,42,6,54.60065561233395
4,43,1,123.68639072867649
4,43,2,53.91608515370932
4,43,3,123.70371188787048
4,43,4,123.91248149369221
4,43,5,123.28461599051592
4,43,6,124.06657772933706
4,44,1,123.8744724816421
4,44,2,56.10642738392184
4,44,3,123.98184329476152
4,44,4,54.33741245752553
4,44,5,124.17382025852446
4,44,6,123.46583058220249
4,45,1,124.39385219817902
4,45,2,124.38990449841347
4,45,3,123.66509225433454
4,45,4,124.01541921655851
4,45,5,123.76333506377519
4,45,6,123.58109425671974
4,46,1,123.87269759832357
4,46,2,123.75645313148695
4,46,3,123.4539665547855
4,46,4,123.13891570215367
4,46,5,124.2096729896524
4,46,6,124.27280609437129
4,47,1,123.79046012118415
4,47,2,123.90895295513178
4,47,3,123.67137817107047
4,47,4,123.73687326692131
4,47,5,53.57402621332227
4,47,6,123.83287703144985
4,48,1,123.98284898777717
4,48,2,123.92289098037344
4,48,3,123.98770879369135
4,48,4,123.21626435069203
4,48,5,123.55817584298981
4,48,6,123.62238059309315
5,1,1,11.73103064665072
5,1,2,15.33290182115873
5,1,3,9.883422389828723
5,1,4,12.80175156315637
5,1,5,14.35734364462594
5,1,6,11.55824021784642
5,2,1,13.29073337591394
5,2,2,10.34755175249935
5,2,3,10.76876866943597
5,2,4,10.53474773275381
5,2,5,9.385006634670516
5,2,6,10.64930394263844
5,3,1,13.55732808591353
5,3,2,12.25376961411966
5,3,3,15.48147054196695
5,3,4,10.96970076046244
