Uso,Semana,Temporada,Caudal_m3s
1,43,3,0.0
1,43,4,0.0
1,43,5,0.0
1,43,6,0.0
1,44,1,69.50290004737306
1,44,2,0.0
1,44,3,0.0
1,44,4,0.0
1,44,5,0.0
1,44,6,0.0
1,45,1,68.39127132976856
1,45,2,0.0
1,45,3,0.0
1,45,4,0.0
1,45,5,0.0
1,45,6,0.0
1,46,1,67.61658650774548
1,46,2,0.0
1,46,3,0.0
1,46,4,0.0
1,46,5,0.0
1,46,6,0.0
1,47,1,66.4449053891116
1,47,2,0.0
1,47,3,0.0
1,47,4,0.0
1,47,5,0.0
1,47,6,0.0
1,48,1,66.97987529339339
1,48,2,0.0
1,48,3,0.0
1,48,4,0.0
1,48,5,0.0
1,48,6,0.0
2,1,1,0.0
2,1,2,35.51277421274024
2,1,3,44.42827337942445
2,1,4,0.0
2,1,5,0.0
2,1,6,0.0
2,2,1,0.0
2,2,2,54.75178353166775
2,2,3,49.16848089523741
2,2,4,0.0
2,2,5,0.0
2,2,6,0.0
2,3,1,48.70089513834278
2,3,2,35.13454848617752
2,3,3,0.0
2,3,4,0.0
2,3,5,0.0
2,3,6,0.0
2,4,1,54.38656953329438
2,4,2,39.4825984272553
2,4,3,49.20996139505229
2,4,4,42.41796962780541
2,4,5,0.0
2,4,6,0.0
2,5,1,0.0
2,5,2,37.52802743302912
2,5,3,0.0
2,5,4,0.0
2,5,5,0.0
2,5,6,0.0
2,6,1,30.575586772050364
2,6,2,38.653816446917226
2,6,3,34.971817325812246
2,6,4,0.0
2,6,5,0.0
2,6,6,0.0
2,7,1,0.0
2,7,2,35.92794909799189
2,7,3,43.61050400857116
2,7,4,0.0
2,7,5,0.0
2,7,6,5.600592187948564
2,8,1,29.50576323187883
2,8,2,34.83707267974954
2,8,3,0.0
2,8,4,0.0
2,8,5,0.0
2,8,6,0.0
2,9,1,36.82259909583655
2,9,2,26.031576754241904
2,9,3,30.917746523224146
2,9,4,0.0
2,9,5,0.0
2,9,6,36.724763284182444
2,10,1,12.452353541248392
2,10,2,28.702520350062166
2,10,3,0.0
2,10,4,0.0
2,10,5,0.0
2,10,6,0.0
2,11,1,0.0
2,11,2,35.05921880840916
2,11,3,0.0
2,11,4,0.0
2,11,5,0.0
2,11,6,0.0
2,12,1,0.0
2,12,2,36.470830559385085
2,12,3,0.0
2,12,4,0.0
2,12,5,0.0
2,12,6,0.0
2,13,1,0.0
2,13,2,0.0
2,13,3,0.0
2,13,4,0.0
2,13,5,0.0
2,13,6,0.0
2,14,1,0.0
2,14,2,0.0
2,14,3,0.0
2,14,4,0.0
2,14,5,0.0
2,14,6,0.0
2,15,1,0.0
2,15,2,0.0
2,15,3,0.0
2,15,4,0.0
2,15,5,0.0
2,15,6,0.0
2,16,1,0.0
2,16,2,0.0
2,16,3,0.0
2,16,4,0.0
2,16,5,0.0
2,16,6,0.0
2,17,1,0.0
2,17,2,0.0
2,17,3,0.0
2,17,4,0.0
2,17,5,0.0
2,17,6,0.0
2,18,1,0.0
2,18,2,0.0
2,18,3,0.0
2,18,4,0.0
2,18,5,0.0
2,18,6,0.0
2,19,1,0.0
2,19,2,0.0
2,19,3,0.0
2,19,4,0.0
2,19,5,0.0
2,19,6,0.0
2,20,1,0.0
2,20,2,0.0
2,20,3,0.0
2,20,4,0.0
2,20,5,0.0
2,20,6,0.0
2,21,1,0.0
2,21,2,0.0
2,21,3,0.0
2,21,4,0.0
2,21,5,0.0
2,21,6,0.0
2,22,1,0.0
2,22,2,0.0
2,22,3,0.0
2,22,4,0.0
2,22,5,0.0
2,22,6,0.0
2,23,1,0.0
2,23,2,0.0
2,23,3,0.0
2,23,4,0.0
2,23,5,0.0
2,23,6,0.0
2,24,1,0.0
2,24,2,0.0
2,24,3,0.0
2,24,4,0.0
2,24,5,0.0
2,24,6,0.0
2,25,1,0.0
2,25,2,0.0
2,25,3,12.016764054593686
2,25,4,12.496962682210814
2,25,5,12.77081523718794
2,25,6,8.809840438280403
2,26,1,0.0
2,26,2,0.0
2,26,3,11.891836195879627
2,26,4,11.08153627191497
2,26,5,9.962231547180345
2,26,6,8.76240072054918
2,27,1,0.0
2,27,2,0.0
2,27,3,6.7883294304594415
2,27,4,11.179131448774378
2,27,5,11.053027421965844
2,27,6,8.353806879304116
2,28,1,0.0
2,28,2,0.0
2,28,3,10.331470330319846
2,28,4,8.091217318285324
2,28,5,0.0
2,28,6,9.303931662556472
2,29,1,0.0
2,29,2,8.632727305969489
2,29,3,5.817316926018236
2,29,4,13.096607234490335
2,29,5,9.85966854482303
2,29,6,3.9136948845291357
2,30,1,0.0
2,30,2,3.877264457161523
2,30,3,14.665367569258798
2,30,4,7.1209751428448484
2,30,5,0.0
2,30,6,8.853685253007612
2,31,1,0.0
2,31,2,16.56778639740405
2,31,3,10.366677279437134
2,31,4,0.0
2,31,5,0.0
2,31,6,9.954625444184465
2,32,1,0.0
2,32,2,12.400041473801856
2,32,3,0.0
2,32,4,0.0
2,32,5,0.0
2,32,6,3.768967172525393
2,33,1,0.0
2,33,2,0.0
2,33,3,10.948413106821214
2,33,4,4.22411850110111
2,33,5,0.0
2,33,6,0.0
2,34,1,0.0
2,34,2,0.0
2,34,3,9.023299868736359
2,34,4,7.135647922064706
2,34,5,9.13495542534131
2,34,6,14.464215312228134
2,35,1,0.0
2,35,2,0.0
2,35,3,0.0
2,35,4,0.0
2,35,5,15.21251267516061
2,35,6,8.524702452297184
