Central,Semana,Temporada,Caudal_m3s
2,35,1,52.230007220045785
2,35,2,52.19610487243662
2,35,3,52.31361888831604
2,35,4,52.49780667737991
2,35,5,52.56926365413668
2,35,6,52.03133713500399
2,36,1,52.534615583813476
2,36,2,52.291356664776146
2,36,3,52.74566911122687
2,36,4,52.27950578070629
2,36,5,52.03832790205302
2,36,6,52.10751971614142
2,37,1,50.85214280679936
2,37,2,50.839861844526
2,37,3,50.63535667142878
2,37,4,50.89419951996916
2,37,5,50.80862962640067
2,37,6,50.97104306500721
2,38,1,50.54937628637244
2,38,2,50.82767514615667
2,38,3,50.79781654470763
2,38,4,50.88412031045565
2,38,5,50.364435079297465
2,38,6,50.88658407403609
2,39,1,50.647362328207514
2,39,2,50.8239369986959
2,39,3,50.29953768701431
2,39,4,50.56869219352378
2,39,5,50.95087392011048
2,39,6,50.50492045808814
2,40,1,50.476851301093745
2,40,2,50.85583498406166
2,40,3,50.79303505848445
2,40,4,50.830865402082054
2,40,5,51.06189595302856
2,40,6,50.905491780491836
2,41,1,50.78519159567424
2,41,2,50.77168031799567
2,41,3,50.76210781454521
2,41,4,50.92021295644896
2,41,5,50.86171014680288
2,41,6,50.891104361973305
2,42,1,50.89700363894797
2,42,2,51.094435803456555
2,42,3,50.732523181825016
2,42,4,50.88909123901031
2,42,5,50.45773762021269
2,42,6,51.19172840703665
2,43,1,50.79992567676842
2,43,2,50.8008033622254
2,43,3,50.90121447504419
2,43,4,50.9735828275356
2,43,5,50.86249368886108
2,43,6,50.78013366374194
2,44,1,50.771070552585265
2,44,2,50.781164397404325
2,44,3,50.931731960931906
2,44,4,50.83825524772131
2,44,5,51.25149687579993
2,44,6,50.91203491146728
2,45,1,50.440369833343624
2,45,2,50.97112480382839
2,45,3,50.825380745305836
2,45,4,51.16196402654461
2,45,5,50.89324790059856
2,45,6,51.076316881215114
2,46,1,50.641595484970466
2,46,2,50.803606591108355
2,46,3,50.66394860144394
2,46,4,50.84811287625457
2,46,5,50.53310562412812
2,46,6,50.584788795531
2,47,1,50.91138379753534
2,47,2,50.94660422904892
2,47,3,50.64309774016625
2,47,4,50.79352518885112
2,47,5,51.2515373215632
2,47,6,50.760841099520064
2,48,1,50.93274038874871
2,48,2,50.80225789876494
2,48,3,50.72760816852489
2,48,4,50.87827097529791
2,48,5,50.83753289096803
2,48,6,50.829773315176475
3,1,1,128.02352935334926
3,1,2,124.42165817884127
3,1,3,129.87113761017127
3,1,4,80.40747516194229
3,1,5,91.39968810857815
3,1,6,80.7834995694881
3,2,1,126.46382662408605
3,2,2,129.40700824750064
3,2,3,128.985791330564
3,2,4,77.65146483564517
3,2,5,81.03803881934633
3,2,6,88.5807943838808
3,3,1,126.19723191408647
3,3,2,127.50079038588034
3,3,3,80.35468367261394
3,3,4,76.8560529691478
3,3,5,76.2263646382207
3,3,6,82.98106369749847
3,4,1,127.90899693276195
3,4,2,129.26460811085755
3,4,3,128.6387522359686
3,4,4,126.21905948199233
3,4,5,76.49769727734991
3,4,6,81.79959434053538
3,5,1,110.7250933877792
3,5,2,115.03549427917582
3,5,3,74.99476194843314
3,5,4,70.19952596633962
3,5,5,83.11776277974617
3,5,6,70.54108587338979
3,6,1,114.36760397213703
3,6,2,118.2766684626368
3,6,3,116.65764152808606
3,6,4,78.35670729557752
3,6,5,90.55248371830943
3,6,6,82.42787262230894
3,7,1,115.71276038908891
3,7,2,118.01201401151403
3,7,3,114.95536525048225
3,7,4,95.99319064651546
3,7,5,89.00914981535797
3,7,6,88.80010068556
3,8,1,114.57169012881405
3,8,2,117.99062237792344
3,8,3,87.32394914403118
3,8,4,77.18824356851678
