Uso,Semana,Temporada,Volumen_hm3
2,26,3,1016.6280712666938
2,26,4,1155.4629784919123
2,26,5,1185.3903164991377
2,26,6,1162.532970970301
2,27,1,278.2839469919322
2,27,2,911.8149091444056
2,27,3,1011.9359779643603
2,27,4,1147.7359628345193
2,27,5,1177.750463945075
2,27,6,1156.758819655326
2,28,1,278.2839469919322
2,28,2,911.8149091444056
2,28,3,1004.7948656720432
2,28,4,1142.1433134241206
2,28,5,1177.750463945075
2,28,6,1150.327942090167
2,29,1,278.2839469919322
2,29,2,906.5938356697553
2,29,3,1001.2765523951874
2,29,4,1134.2224853687007
2,29,5,1171.7873364091658
2,29,6,1147.9609394240038
2,30,1,278.2839469919322
2,30,2,903.9138704769653
2,30,3,991.1398503313158
2,30,4,1129.3004673499663
2,30,5,1171.7873364091658
2,30,6,1141.841272177125
2,31,1,278.2839469919322
2,31,2,893.8936732638153
2,31,3,984.8700839127122
2,31,4,1129.3004673499663
2,31,5,1171.7873364091658
2,31,6,1135.8207147084822
2,32,1,278.2839469919322
2,32,2,885.3227645971235
2,32,3,984.8700839127122
2,32,4,1129.3004673499663
2,32,5,1171.7873364091658
2,32,6,1133.2156045988327
2,33,1,278.2839469919322
2,33,2,885.3227645971235
2,33,3,978.2484836657067
2,33,4,1126.7457204805003
2,33,5,1171.7873364091658
2,33,6,1133.2156045988327
2,34,1,278.2839469919322
2,34,2,885.3227645971235
2,34,3,972.0115787964361
2,34,4,1121.8135606367691
2,34,5,1165.47325521917
2,34,6,1123.2179389750206
2,35,1,278.2839469919322
2,35,2,885.3227645971235
2,35,3,972.0115787964361
2,35,4,1121.8135606367691
2,35,5,1154.958366458099
2,35,6,1117.3256646399927
2,36,1,278.2839469919322
2,36,2,885.3227645971235
2,36,3,963.1161604239943
2,36,4,1113.107175807717
2,36,5,1149.8648790460916
2,36,6,1111.583252983128
2,37,1,278.2839469919322
2,37,2,885.3227645971235
2,37,3,921.6520649520838
2,37,4,1072.097765663263
2,37,5,1149.8648790460916
2,37,6,1111.583252983128
2,38,1,278.2839469919322
2,38,2,885.3227645971235
2,38,3,873.9717156452882
2,38,4,1024.500252135693
2,38,5,1103.153895140657
2,38,6,1065.3446369093033
2,39,1,278.2839469919322
2,39,2,838.3920952314824
2,39,3,825.3624179588821
2,39,4,978.8386834971154
2,39,5,1056.0467134505586
2,39,6,1018.2762416601697
2,40,1,278.2839469919322
2,40,2,791.6041345128626
2,40,3,825.3624179588821
2,40,4,930.3888750269947
2,40,5,1009.0019109729643
2,40,6,971.0306416873287
2,41,1,278.2839469919322
2,41,2,791.6041345128626
2,41,3,784.6020080229544
2,41,4,888.7560182198175
2,41,5,967.7894225101219
2,41,6,971.0306416873287
2,42,1,278.2839469919322
2,42,2,791.6041345128626
2,42,3,743.5474264508695
2,42,4,847.4013421300946
2,42,5,926.963115529233
2,42,6,971.0306416873287
2,43,1,278.2839469919322
2,43,2,791.6041345128626
2,43,3,702.936846989313
2,43,4,807.0732777078348
2,43,5,888.2980901435977
2,43,6,929.4159147307483
2,44,1,278.2839469919322
2,44,2,791.6041345128626
2,44,3,662.3042344914824
2,44,4,807.0732777078348
2,44,5,848.0016605957658
